#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
9100,-54097.14189507754,10292.36760693154,308.738568662208
9200,-53979.3588835682,10021.980877580121,300.62781951358716
9300,-54028.99941235245,10064.016360492911,301.8887514316017
9400,-54179.51696657075,10026.296247946098,300.75726701497075
9500,-53932.70850402763,9854.234268238302,295.5959502640616
9600,-54500.04817852401,10277.042619240005,308.27886736262906
9700,-54137.14192852401,9889.996156940237,296.668694141093
9800,-54246.415922658925,9771.453526346711,293.1127890770094
9900,-54076.357511846,9838.73527730268,295.1310294159226
10000,-54169.614013638464,10239.024897959898,307.13845562258257
