#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
5100,-54203.298590702296,9997.351155064767,299.8890055140933
5200,-54283.32382303162,10060.218324761954,301.774822337725
5300,-54249.56641531462,10235.225711882813,307.0244920219499
5400,-54266.63282785105,10089.897142582107,302.6650932727827
5500,-54415.049364748294,10173.322929614224,305.1676037797401
5600,-54117.52381474833,9869.291844045278,296.0476300504537
5700,-54338.14797172055,9963.262914371211,298.86646579904726
5800,-54493.46807191492,9798.015854634345,293.9095751547178
5900,-54369.53438438912,9759.211669082288,292.74557196682383
6000,-54244.87565531366,9553.533200524544,286.5758665683898
