#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
4100,-54110.53722704959,10154.192038316978,304.59373737485515
4200,-54104.042409905116,10036.74667721428,301.0707469349837
4300,-54001.347863103845,10130.408800746081,303.8803152540939
4400,-54041.93556548975,10197.667567936936,305.8978661525387
4500,-54082.51369048975,10236.670091737527,307.0678188623796
4600,-54066.72047528357,10322.534410823137,309.6434776404233
4700,-54141.309196517046,10215.025413684547,306.4185467826755
4800,-53940.95857069228,9796.285497933626,293.8576699108072
4900,-54262.63357809221,10077.460511116777,302.2920335508389
5000,-54015.05355795071,10054.390903452411,301.6000180766638
