#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
4100,-53814.33214699116,10266.859683806775,307.9734114140563
4200,-53733.58482328814,10060.848111133557,301.7937139426849
4300,-53977.83482328814,10294.394960555946,308.7993828771754
4400,-53641.40232327359,9964.197001301683,298.89448546108554
4500,-54117.78547183151,10352.039956581313,310.52855096007835
4600,-54123.12352615909,10349.000016681151,310.43736235028143
4700,-53967.773050449556,10035.623690802138,301.0370608842369
4800,-54245.09819014743,10175.291783062275,305.22666317391173
4900,-53924.50823515287,10073.787134444341,302.18184383557445
5000,-54004.18542760413,9908.495482014376,297.2236155510862
