#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
7100,-54306.671660051856,10107.75609600218,303.2008055527255
7200,-54289.29688921996,10210.346262444975,306.27818700235764
7300,-54312.42188921996,10151.805650027469,304.52215325223995
7400,-54030.27649388969,10107.27270577848,303.186305370506
7500,-54068.7125952451,10025.105818832526,300.7215578958784
7600,-54152.8375952451,10111.591815226246,303.31586503255113
7700,-53885.752214153705,9847.531259365845,295.3948811374965
7800,-54027.4953952966,9926.255318251438,297.7563546281294
7900,-54032.03827007103,9983.771235837601,299.4816507649373
8000,-54171.145129636105,10016.09846508829,300.45136569048566
