#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
7100,-53952.704642808356,9810.14808438532,294.2735037852376
7200,-54149.437918589916,9982.537060155533,299.44462938675576
7300,-54070.84844791121,10004.763593577896,300.11135529251544
7400,-53998.42186002922,9946.21476372541,298.355075045264
7500,-53797.65462411818,10084.715701263864,302.50966637420163
7600,-53926.91046133946,10164.522764329333,304.9036265747073
7700,-53854.94916421658,10058.461124377092,301.72211186794846
7800,-53828.85541421658,9986.52158287447,299.56415250213865
7900,-53867.57059734728,9888.931508427486,296.63675804334486
8000,-54119.28084223595,9976.386041255202,299.2601182185165
