#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
5100,-54201.89536376513,9867.872169239447,296.00504428357704
5200,-54377.58712822688,9980.290838104615,299.37724980924907
5300,-54248.463714890124,10093.924018965568,302.7858868645285
5400,-54252.8981736757,9970.741638489068,299.090803936563
5500,-54096.369436746,9796.33368562907,293.8591153896986
5600,-54185.75104078796,9882.25990117155,296.4366308662426
5700,-53903.19386414596,9932.001190229785,297.92871266644084
5800,-54329.086664738075,10123.243601514958,303.6653818744013
5900,-54496.1245797993,10209.690517402865,306.2585167191498
6000,-54005.78152081778,9852.210583602544,295.53524610718256
