#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
6100,-54127.785884978424,10022.876761361957,300.6546932016494
6200,-54237.2761992013,10147.726094438229,304.39977945045774
6300,-53856.76174499688,9734.125863948138,291.9930769271363
6400,-54121.08326348511,9934.48294762359,298.00315756141464
6500,-54121.66138848511,9998.392731011845,299.9202495076364
6600,-54142.61451348511,9972.464071148774,299.1424714842336
6700,-54175.306009678345,10013.272158719134,300.3665854128723
6800,-54156.09623265918,10057.520852895454,301.6939066888796
6900,-54367.499785051856,10199.309675124707,305.94712418937763
7000,-54058.468535051856,9987.090977272717,299.58123253835896
