#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
8100,-53861.10136629053,9984.89629441232,299.51539897402625
8200,-53855.88943489845,9795.583062272519,293.83659905627985
8300,-54046.21441817627,10155.89346818626,304.6447749050506
8400,-53886.73030503717,10026.105035869405,300.7515312557049
8500,-53818.06157833565,9914.59056515037,297.4064488228027
8600,-53504.22196627507,10021.574190117768,300.6156201723068
8700,-53664.55176137894,10203.508799759205,306.0730846854268
8800,-53913.912485349516,10447.382938033203,313.388539715787
8900,-53753.79541366914,10347.786894109333,310.4009724990112
9000,-53793.414132149424,10368.369036634569,311.0183718638535
