#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
5100,-53747.97618114267,10016.202533293515,300.45448740843744
5200,-53678.111437039275,10114.179434725549,303.3934854568274
5300,-53737.08480706345,10256.034234927967,307.6486820884424
5400,-53567.34814776847,10033.86718018382,300.9843711052812
5500,-53798.31635661359,10275.400521205273,308.2296096003524
5600,-53931.294007488934,10304.57747720735,309.1048262636141
5700,-53822.71795486001,10158.848032447742,304.7334025149405
5800,-53740.508839258575,9974.043426200747,299.18984715490313
5900,-53777.53447376215,10065.12633503601,301.9220471673134
6000,-53761.73478051444,10174.679533578455,305.2082976202785
