#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
2100,-54168.0600679327,9967.403677972965,298.9906756481701
2200,-54311.57106994197,10285.779232992325,308.5409382221103
2300,-54187.1383382614,9962.737257745117,298.85069775805357
2400,-54198.73552075104,9962.808572267531,298.8528369688179
2500,-54254.81846207939,10106.23451694753,303.15516297976467
2600,-54044.6273579789,9946.561296553235,298.3654699372212
2700,-54087.84024690528,9996.053302166416,299.85007402024524
2800,-53973.533790035,10000.859459514264,299.994243583266
2900,-54030.18230066949,9998.063501787838,299.9103736692225
3000,-54145.8181036936,9924.106087015476,297.69188446918673
