#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
8100,-53983.904496619245,9980.24393461179,299.3758428523862
8200,-54064.34822859999,10066.513357522897,301.963653467599
8300,-54026.464500665024,9926.360979144694,297.7595241216991
8400,-54042.01758001791,10021.500868667383,300.6134207600327
8500,-54253.58008001791,10335.972164265346,310.0465678643859
8600,-54104.89320694376,10162.052368037868,304.8295224769736
8700,-54273.31181128003,10187.6304271603,305.59678358386395
8800,-54006.03056128003,10074.465886594728,302.202204259472
8900,-53792.31828849274,10035.205191085115,301.0245072125693
9000,-53555.714516474516,9991.663271526108,299.71838694609147
