#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
4100,-54464.131787006045,10020.56354041677,300.58530386861247
4200,-54486.96031564672,10061.965972456615,301.8272462569224
4300,-54449.79169257218,9999.0782535607,299.94081302213584
4400,-54521.92388263525,9955.310420540394,298.6279160642935
4500,-54317.76181441179,9707.31441644067,291.1888180584924
4600,-54442.19711857964,9854.063153571798,295.5908173637192
4700,-54419.69576468237,9877.345843734685,296.28922464084116
4800,-54055.95344056736,9642.52265363466,289.24526951127996
4900,-54452.08606904192,9974.120012921863,299.1921445150013
5000,-54495.52995840699,9797.424688959494,293.8918420488605
