#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
6100,-54143.3265719543,9733.320796940941,291.9689274558998
6200,-54264.42309719784,9985.000014057616,299.5185102362794
6300,-54174.45175765024,9791.960871307645,293.72794475081537
6400,-54188.68527714297,9647.795823878725,289.4034479883456
6500,-54151.90923375392,9724.227666421328,291.6961622177642
6600,-54049.58804250753,9836.800546624756,295.07299359724016
6700,-54227.02339946345,10001.794924572343,300.02230458478624
6800,-54091.4382801195,9966.197058193851,298.9544808601728
6900,-54182.615330819215,9886.116139018908,296.5523058400564
7000,-54361.02730757982,10223.171670435986,306.66290879396826
