#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
9100,-54224.70882605441,9801.826769763604,294.02389058992514
9200,-54465.84710006358,10134.376168566756,303.9993237766312
9300,-54348.28102970787,10116.945948257577,303.4764721378985
9400,-54104.14404244954,9869.132416264154,296.04284771981526
9500,-53894.84716744954,9938.023356794845,298.1093586709899
9600,-54146.30774887063,10050.602871269453,301.4863890576784
9700,-54121.48020941892,10074.028384738835,302.18908058356635
9800,-54147.97171379777,10212.951481118333,306.3563353463522
9900,-54054.45324627025,10007.943734951317,300.20674950434983
10000,-54058.921721483115,10026.548966707196,300.7648477807921
