 3.1009998e+00 4.7979999e+00 1.1099999e-01	 2.7949998e+00 1.8019999e+00 3.2830999e+00
 3.0939999e+00 4.7965999e+00 1.0600000e-01	 2.7948999e+00 1.8034999e+00 3.2842999e+00
 3.0816000e+00 4.7979999e+00 1.0100000e-01	 2.7916000e+00 1.8074000e+00 3.2833998e+00
 3.0739000e+00 4.7946000e+00 9.6499994e-02	 2.7927999e+00 1.8084999e+00 3.2807999e+00
 3.0660000e+00 4.7874999e+00 9.6099995e-02	 2.7914000e+00 1.8054000e+00 3.2744000e+00
 3.0583000e+00 4.7821999e+00 1.0230000e-01	 2.7916000e+00 1.8026999e+00 3.2704999e+00
 3.0518000e+00 4.7764997e+00 1.0870000e-01	 2.7933998e+00 1.8039999e+00 3.2631998e+00
 3.0477998e+00 4.7726998e+00 1.1279999e-01	 2.7876999e+00 1.8076999e+00 3.2598000e+00
 3.0488999e+00 4.7627001e+00 1.1790000e-01	 2.7872000e+00 1.8131000e+00 3.2617998e+00
 3.0562999e+00 4.7558999e+00 1.1870000e-01	 2.7932999e+00 1.8217000e+00 3.2626998e+00
 3.0646000e+00 4.7486997e+00 1.1900000e-01	 2.7956998e+00 1.8305999e+00 3.2619998e+00
 3.0755000e+00 4.7500000e+00 1.1910000e-01	 2.8000000e+00 1.8441000e+00 3.2581000e+00
 3.0851998e+00 4.7522998e+00 1.2069999e-01	 2.7997000e+00 1.8515999e+00 3.2516999e+00
 3.0850000e+00 4.7530999e+00 1.2450000e-01	 2.7960000e+00 1.8557999e+00 3.2510998e+00
 3.0892000e+00 4.7528996e+00 1.2190000e-01	 2.8011999e+00 1.8626000e+00 3.2519000e+00
 3.0934000e+00 4.7556000e+00 1.2480000e-01	 2.8034000e+00 1.8640000e+00 3.2554998e+00
 3.0946999e+00 4.7543001e+00 1.2709999e-01	 2.8016000e+00 1.8685000e+00 3.2598999e+00
 3.0965998e+00 4.7556000e+00 1.2989999e-01	 2.8048999e+00 1.8708999e+00 3.2623999e+00
 3.0983000e+00 4.7525001e+00 1.3249999e-01	 2.8032999e+00 1.8678000e+00 3.2646999e+00
 3.1053998e+00 4.7514000e+00 1.3650000e-01	 2.8011000e+00 1.8685000e+00 3.2649999e+00
 3.1113000e+00 4.7507000e+00 1.3939999e-01	 2.7988000e+00 1.8707000e+00 3.2714000e+00
 3.1185000e+00 4.7570000e+00 1.4649999e-01	 2.7955000e+00 1.8714999e+00 3.2735999e+00
 3.1218998e+00 4.7606001e+00 1.4729999e-01	 2.7918999e+00 1.8785000e+00 3.2772000e+00
 3.1253998e+00 4.7641997e+00 1.4590000e-01	 2.7898998e+00 1.8805000e+00 3.2855999e+00
 3.1260998e+00 4.7645998e+00 1.4479999e-01	 2.7869000e+00 1.8793000e+00 3.2872999e+00
 3.1283998e+00 4.7598000e+00 1.4579999e-01	 2.7876999e+00 1.8765000e+00 3.2946999e+00
 3.1339998e+00 4.7591000e+00 1.4839999e-01	 2.7879999e+00 1.8697000e+00 3.2956998e+00
 3.1366000e+00 4.7533998e+00 1.4700000e-01	 2.7854998e+00 1.8642000e+00 3.2960000e+00
 3.1369998e+00 4.7521996e+00 1.5040000e-01	 2.7895000e+00 1.8589000e+00 3.2983999e+00
 3.1396000e+00 4.7500000e+00 1.4729999e-01	 2.7948000e+00 1.8618000e+00 3.2932999e+00
 3.1459999e+00 4.7454000e+00 1.4630000e-01	 2.7967000e+00 1.8608999e+00 3.2869999e+00
 3.1529999e+00 4.7444997e+00 1.4440000e-01	 2.7977998e+00 1.8608999e+00 3.2793999e+00
 3.1557999e+00 4.7451000e+00 1.3990000e-01	 2.7986999e+00 1.8628000e+00 3.2702000e+00
 3.1606998e+00 4.7419000e+00 1.3669999e-01	 2.7990000e+00 1.8641000e+00 3.2621000e+00
 3.1617000e+00 4.7393999e+00 1.3310000e-01	 2.7969000e+00 1.8597000e+00 3.2593999e+00
 3.1592999e+00 4.7426000e+00 1.2440000e-01	 2.8018000e+00 1.8547000e+00 3.2516000e+00
 3.1597998e+00 4.7412000e+00 1.1759999e-01	 2.7986999e+00 1.8551999e+00 3.2461998e+00
 3.1559000e+00 4.7382998e+00 1.1270000e-01	 2.7970998e+00 1.8613000e+00 3.2412999e+00
 3.1592999e+00 4.7395000e+00 1.0749999e-01	 2.7974000e+00 1.8629999e+00 3.2423999e+00
 3.1587000e+00 4.7363997e+00 1.0230000e-01	 2.7946000e+00 1.8657000e+00 3.2456999e+00
 3.1610000e+00 4.7374001e+00 1.0390000e-01	 2.7939999e+00 1.8674999e+00 3.2463000e+00
 3.1645999e+00 4.7349000e+00 1.0749999e-01	 2.7932000e+00 1.8702999e+00 3.2451000e+00
 3.1624999e+00 4.7298999e+00 1.1200000e-01	 2.7956998e+00 1.8709999e+00 3.2451999e+00
 3.1587999e+00 4.7283998e+00 1.1880000e-01	 2.7955000e+00 1.8714999e+00 3.2495000e+00
 3.1585000e+00 4.7254000e+00 1.2310000e-01	 2.7948999e+00 1.8794999e+00 3.2528999e+00
 3.1604998e+00 4.7289000e+00 1.2500000e-01	 2.7921000e+00 1.8819000e+00 3.2607999e+00
 3.1652000e+00 4.7308998e+00 1.2660000e-01	 2.7897000e+00 1.8881999e+00 3.2593999e+00
 3.1680999e+00 4.7332001e+00 1.2920000e-01	 2.7895000e+00 1.8852999e+00 3.2558999e+00
 3.1689999e+00 4.7333999e+00 1.3169999e-01	 2.7867000e+00 1.8779999e+00 3.2551000e+00
 3.1662998e+00 4.7297001e+00 1.3490000e-01	 2.7884998e+00 1.8716999e+00 3.2552998e+00
 3.1659000e+00 4.7262001e+00 1.3689999e-01	 2.7960000e+00 1.8714999e+00 3.2628999e+00
