#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
7100,-53724.51726923988,9842.745015137829,295.25130890526975
7200,-54049.42949589208,10272.385213402857,308.13915987580435
7300,-53942.735441210505,10140.333108494757,304.17801318777686
7400,-53772.81635994947,10085.475022355793,302.5324436122513
7500,-53873.276107317884,10242.849903788883,307.2531937343432
7600,-53537.42017963494,10044.117389661493,301.2918450630218
7700,-53574.15424598253,9960.406589163467,298.7807850509481
7800,-53745.650433422416,10133.89748502709,303.984964780089
7900,-53934.929108605604,10008.910886914935,300.2357610131037
8000,-54179.710358605604,10394.449111510301,311.80069186011104
