#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
4100,-53861.05124924355,9940.92379400495,298.19636264004157
4200,-53957.08249924355,10080.144457573595,302.37254348004956
4300,-53865.30900041148,10037.966355425306,301.1073334347553
4400,-53779.74650041148,9837.547976149479,295.0954141257766
4500,-54086.84868000337,10231.620764495805,306.91635496943945
4600,-54050.078051886754,10234.534764849464,307.00376579002307
4700,-54007.28451372642,10037.946171703283,301.106727986749
4800,-53931.27508810046,10064.258510151296,301.896015157674
4900,-53986.88188064436,10103.09283896559,303.06092254837074
5000,-54006.312278883415,10053.361598064657,301.56914216120225
