#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
1100,-54506.56272800581,10278.325746808434,308.3173571430194
1200,-54212.49741600233,9830.148022103123,294.87343884198486
1300,-54145.13917613664,9867.830951268785,296.0038078744483
1400,-54348.68605113664,9864.792348480783,295.9126593737993
1500,-54373.869974191126,9975.327367919497,299.22836135723554
1600,-54436.04307420482,10188.023880988127,305.60858595784407
1700,-53982.91261612205,9727.331197382882,291.78925835885263
1800,-53928.96484272083,9824.173827340128,294.6942318402067
1900,-54321.648361065425,9975.729873687029,299.2404352608593
2000,-54185.90330587281,9974.792658318765,299.2123217555535
