#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
8100,-54218.22876037494,9802.322984474507,294.03877546631554
8200,-54620.576348157134,10105.467198805884,303.1321458554442
8300,-54490.08204578521,9729.465919394512,291.85329328682377
8400,-54489.66055684083,9827.016496807337,294.7795029591565
8500,-54261.06791737466,9594.126232493669,287.7935295072229
8600,-54504.204283302475,9914.14312735363,297.39302710000703
8700,-54326.88692421932,9919.662706414238,297.55859706445744
8800,-54141.90879260469,9760.821747590322,292.7938692442811
8900,-54571.15345980396,10091.985580943408,302.727739837211
9000,-54544.43400833412,10159.753936688416,304.76057678516594
