#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
9100,-53927.72282173799,10126.56356542278,303.76497032130254
9200,-53974.410907811485,9956.7569977385,298.671308818095
9300,-53666.79988319875,9939.136348534841,298.14274491309294
9400,-53629.28128172085,10029.576845172094,300.8556745855699
9500,-53747.145272163034,10122.228889017366,303.63494369962217
9600,-53616.868578406225,9928.110753497342,297.81201183392915
9700,-53757.79659690731,10009.719069864135,300.2600039527734
9800,-53942.415756002476,9922.595489327563,297.64657130259553
9900,-54040.9884723968,10180.479457569774,305.38227704851255
10000,-53742.22185322683,9965.968453295529,298.94762343418563
