#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
5100,-54333.899714085215,9790.763933629729,293.6920403953191
5200,-54358.65656137763,9907.477407634258,297.19307653043387
5300,-54227.70470209763,9993.970997443423,299.78761144562225
5400,-54269.117817380524,10159.164537061006,304.74289665516227
5500,-54310.503416129155,10116.282550942618,303.4565723106385
5600,-54178.41979791038,9842.449415290845,295.24244184210795
5700,-54690.83672238572,10106.072363712708,303.1502988941107
5800,-54539.676092197944,9865.89459197293,295.94572320236415
5900,-54397.28078549652,9971.644455686677,299.1178856052323
6000,-54694.681722377834,10014.843860771274,300.41373151768255
