#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
9100,-54304.46713131567,9985.516255174764,299.5339958416988
9200,-53902.56921304937,9884.572002215311,296.50598660576867
9300,-54080.03156516451,9722.907118108124,291.65654993304616
9400,-54445.02874473634,10078.525018343236,302.3239654104439
9500,-54238.204103613854,9861.07689291332,295.80120742439027
9600,-54237.648067440256,10012.059020038694,300.33019507839424
9700,-54025.756758696516,9701.732649851823,291.02138266431876
9800,-54383.881758696516,10061.193448873819,301.8040729857841
9900,-54312.006758696516,9916.923178951256,297.4764198803505
10000,-54160.113128967,9834.868272375315,295.01503146366525
