#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
3100,-54391.72156070761,9919.963341013063,297.5676151542961
3200,-54263.72911388328,9676.729158281349,290.27135677194514
3300,-54420.95748417126,9902.024552288465,297.02950806699806
3400,-54484.06685917126,10086.461863558157,302.5620457360726
3500,-54255.00573766214,9914.68869138509,297.4093923003788
3600,-54186.02731563436,9998.407209960744,299.92068383044034
3700,-54367.45043184701,10328.933136627777,309.83541923458637
3800,-54246.544875391,9977.95192083437,299.3070896675001
3900,-54175.55561563431,9873.274296600866,296.167091067465
4000,-54400.21528719389,9987.44019538816,299.5917079804759
