#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
8100,-53924.43210455979,9994.304202089086,299.79760653414826
8200,-53872.724943173,10070.070458034985,302.0703552647589
8300,-53941.6462540715,10091.261169914389,302.70600979095116
8400,-54036.2087540715,10340.289057246875,310.17606103943416
8500,-53901.250169326435,10128.082970321178,303.8105476764326
8600,-54011.89277607651,10199.173978301696,305.9430537126411
8700,-54107.561017781496,10291.01258523832,308.69792228481
8800,-54014.849836636975,10108.232302100398,303.21509023383743
8900,-53620.36547461117,9925.767394794617,297.7417184632129
9000,-53814.89189507754,10147.374377054162,304.38922903816416
