#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
1100,-54164.087004905974,10024.737914929166,300.7105219390542
1200,-54113.59416417085,10004.720664526452,300.1100675563595
1300,-54235.84508574108,10091.575935828034,302.7154517756677
1400,-53892.03224671335,9578.258917519357,287.31756009952494
1500,-53973.33148012054,9768.982569158776,293.0386681541505
1600,-54204.64435213705,10097.722524500452,302.89983005104136
1700,-54486.198688898,10220.153505981434,306.57237337886534
1800,-54241.73548592697,9844.522590223467,295.3046305518129
1900,-54445.33147223055,10006.630514645483,300.1673570367423
2000,-54594.2304984908,10017.750449383399,300.5009200093948
