#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
3100,-53890.30115403759,10008.946676216088,300.2368345792678
3200,-53518.219143139024,9834.775064836838,295.0122355314641
3300,-53715.68685645051,10044.721976800822,301.3099807704855
3400,-53973.182584089926,10147.598423651885,304.39594972950914
3500,-53902.008123293635,10069.489061867818,302.05291521332157
3600,-53994.508123293635,10131.412233396288,303.9104150690252
3700,-53880.107053367654,10056.529807474464,301.66417845175863
3800,-54015.393432132434,10311.46054450213,309.3112965749898
3900,-53867.53302992886,10122.289117064443,303.63675035109037
4000,-54096.76740492886,10231.569245630875,306.91480956596916
