#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
6100,-54319.65800659917,9727.322760741692,291.789005286224
6200,-54490.01738159917,9949.353945054405,298.44924058494337
6300,-54477.42964656459,9881.84512646636,296.4241889331822
6400,-54454.76962998597,9806.600986305042,294.1671020294869
6500,-54316.65560915478,9689.610330586089,290.657751317101
6600,-54358.29357597459,9812.258322634734,294.3368042775579
6700,-54290.05200297746,9831.486938001355,294.9136020963269
6800,-54152.175874886045,9771.165874789702,293.10416043748
6900,-54063.03277445451,9792.001049193437,293.72914996067817
7000,-54334.69222434674,10014.935091864318,300.41646816275386
