#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
7100,-54222.81497821596,9742.886968483217,292.25588243286256
7200,-54247.719313691836,9757.822540285997,292.7039024838989
7300,-54253.42158729059,9966.169516337104,298.9536546913305
7400,-54059.9540647589,9902.854449156672,297.05440235575776
7500,-53972.445306546055,9711.976382673252,291.3286623427978
7600,-54052.50931263616,10181.506778301671,305.4130934305576
7700,-54208.77493763616,10223.515007277485,306.67320781641496
7800,-53912.28374135296,9867.949912683107,296.00737634170355
7900,-53851.857877406816,9619.907885843422,288.56689779884783
8000,-54082.436002406816,9851.74172413582,295.521181801846
