#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
9100,-53980.854082253005,9862.81289388286,295.85328197856484
9200,-54119.64900023193,10071.327710369835,302.1080688697459
9300,-54076.62483172439,10039.308817322366,301.147603057879
9400,-53910.373879829014,9806.461659700843,294.16292267076204
9500,-54095.087633183226,9810.260623593815,294.276879606572
9600,-54169.09592676937,9769.136595031363,293.04328844456916
9700,-54035.058724312286,9697.38306140271,290.8909087283563
9800,-54241.744776357606,9931.995123432018,297.928530681641
9900,-54296.91195880581,9934.489808102604,298.00336335414886
10000,-54125.59732154815,9821.280304261018,294.60743527327935
