#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
9100,-53782.560794208664,10265.141505035572,307.92187146962505
9200,-53763.631867147924,10080.592302472563,302.38597741462814
9300,-54015.201782614226,10295.157525654417,308.8222574251904
9400,-53928.9280574905,10099.868206937448,302.96419375720706
9500,-53932.24558706273,10147.418870368972,304.39056369728775
9600,-53862.24813100282,10043.673402107554,301.27852683662906
9700,-53810.965118244465,10028.681472107768,300.8288162174221
9800,-53879.73659709247,10012.760568182915,300.351239310214
9900,-54461.17409709247,10368.658703595633,311.02706095914846
10000,-54230.40837364807,10276.175990304095,308.252871227682
