#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
9100,-54125.54195344605,10070.355408802228,302.07890288911295
9200,-54271.35988169984,10108.84679141827,303.23352297542846
9300,-54082.4207498671,9808.422032474075,294.221727671435
9400,-54513.15532242332,10199.176181210205,305.9431197929489
9500,-54280.4027312441,9826.306634823326,294.7582093383628
9600,-54544.0589812441,10099.02335029468,302.93885072239
9700,-54312.55748270679,9834.823583605583,295.01369094151045
9800,-54141.72096834873,9718.147776001366,291.5137846796146
9900,-54138.13718602137,9769.214759170543,293.04563312223445
10000,-54151.68406102137,9808.094044121448,294.2118890552492
