#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
5100,-54572.743053574,10145.949841866503,304.3464974751611
5200,-54366.430553574,9924.457804945996,297.7024348978722
5300,-54615.49584036716,10151.807898204774,304.52222069046894
5400,-54375.63257306203,9914.781062209979,297.41216313381096
5500,-54521.64683155535,9855.335116674658,295.6289722453524
5600,-54229.1000641422,9784.27074759081,293.49726529203156
5700,-54192.29788012453,10102.316326532979,303.03762962431784
5800,-54062.339773388696,9943.038610423217,298.25980046298906
5900,-54229.86176461622,10044.10561780259,301.2914919443802
6000,-54055.92577596166,9826.088962508366,294.7516798553979
