#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
6100,-54594.712972377834,10047.175356384832,301.383574420662
6200,-54336.139022127085,9989.350300781894,299.6490051182946
6300,-54547.945917921024,9967.971743281785,299.0077158158992
6400,-54523.38906935969,9681.779822961544,290.4228607838215
6500,-54945.0523959836,10144.459437925369,304.30179005728723
6600,-54576.715540697915,9954.781760384329,298.6120579268731
6700,-54510.01833744417,9863.334130785428,295.86891744179144
6800,-54382.48158219311,9725.407045577653,291.73153987298787
6900,-54467.13464857772,9829.826509164719,294.86379446780387
7000,-54764.673634101695,10065.455554623157,301.9319227166518
