#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
100,-54536.24266990897,9888.502751176944,296.6238966780214
200,-54404.242304878484,9680.51729715243,290.3849889912378
300,-54800.16975771292,9933.862498611445,297.98454604779084
400,-54552.59057619632,9810.717208981048,294.29057572823325
500,-54554.980999590014,10040.532147866208,301.1842991161166
600,-54345.13724169973,9939.759475101717,298.16143674491434
700,-54377.538128658896,9951.871256734506,298.52475199637684
800,-54438.20598687261,10024.094833062496,300.69123151117304
900,-54392.10862820392,10060.735561569687,301.79033781072184
1000,-54045.9642754097,9819.3852427674,294.5505894050194
