#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
3100,-53922.5470141836,10220.558178897016,306.5845122900959
3200,-53790.60633653443,9956.574676260352,298.6658397487468
3300,-54036.67868473416,10226.887928708456,306.7743848219959
3400,-53937.07014191925,10138.252339629922,304.11559668405494
3500,-53816.21076691925,9891.265291019343,296.7067641609357
3600,-53992.79260467703,9957.598913915921,298.6965636482252
3700,-53658.91258316743,9746.28145007044,292.3577061751358
3800,-53986.11005033867,10051.920653122244,301.52591835730874
3900,-53943.50987218961,10023.018180354498,300.6589353254257
4000,-53863.056142094196,10048.604922088794,301.42645688328923
