#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
8100,-54505.31133180979,9689.053552052006,290.6410497170183
8200,-54617.85943078366,9778.91206761694,293.336521792748
8300,-54368.76517899253,9768.902308345772,293.0362605828829
8400,-54488.5410082544,9825.034977317555,294.72006362367847
8500,-54392.33743241761,9889.238008570625,296.6459520810144
8600,-54412.194544482976,9878.039950007573,296.3100456399907
8700,-54240.8073996047,10045.36208397313,301.32918196691725
8800,-54252.1355246047,9987.224078102037,299.5852251434719
8900,-53894.95606778137,9824.359899122617,294.69981340685763
9000,-54236.20194939012,10210.621267333161,306.2864362817068
