#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
4100,-54465.10601843678,10032.286660862621,300.9369605102067
4200,-54059.098257290374,9680.954709471087,290.3981099813088
4300,-54084.40608358948,9753.501681585883,292.5742903498
4400,-54225.918360281095,10114.548830193467,303.40456615588437
4500,-53998.19203447184,9893.921688041184,296.786447693981
4600,-54037.28578447184,9949.402892467566,298.45070885297037
4700,-54025.23156006867,10001.167505681049,300.0034839967692
4800,-53916.02428710379,9820.491939088563,294.5837868044117
4900,-54222.758911994286,10108.944799637422,303.2364629129097
5000,-54203.97872672393,10326.563364620786,309.76433354804317
