#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
6100,-54188.87527081778,10028.437790654134,300.82150654232333
6200,-54176.08087459137,9977.248131683096,299.2859782125364
6300,-54277.180093036324,9934.452186368871,298.00223482078644
6400,-53997.22833561496,9771.797519007698,293.1231077719724
6500,-54230.35073422518,10049.41645997623,301.4508004605254
6600,-53883.56600258988,9890.664982027723,296.68875678441105
6700,-54185.50390060933,10037.754496578593,301.10097833750353
6800,-54287.537215792574,9942.333661756013,298.23865422620423
6900,-54477.08299783821,10250.210664120037,307.4739933302861
7000,-54159.487630581076,9817.115591020323,294.4825070105195
