#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
5100,-54135.62055380788,10389.180353623815,311.6426457398573
5200,-54081.99076094659,10145.351228880696,304.32854097346205
5300,-54090.859805579705,10034.736577523407,301.01045028360767
5400,-54014.97475964436,9959.422920376528,298.75127808958456
5500,-54099.193006792106,9968.099650698947,299.01155263502613
5600,-54008.940394350735,9893.487978681922,296.7734377810137
5700,-54083.5011072405,9882.774399380665,296.45206418991773
5800,-54111.643873989815,10139.286284365691,304.14661176532564
5900,-54182.99434262951,9920.10481539974,297.57185893972166
6000,-54263.21309262951,10006.920164774172,300.1760456271191
