#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
100,-54209.05722718232,9858.176760006696,295.7142125834833
200,-54445.32451140392,10019.86236478202,300.5642708109021
300,-54512.810635183065,9952.80725071067,298.55282886377154
400,-54381.46660558018,9756.543201547582,292.66552635645985
500,-54305.6107049837,9728.574196623173,291.8265444159535
600,-54378.2669549837,9829.378352171276,294.85035117137534
700,-54364.70203665289,9957.115556282923,298.682064443624
800,-54566.83389630029,10145.700545675121,304.3390193756373
900,-54281.12097921356,9997.144207209814,299.8827977311064
1000,-54059.80851097038,9977.365733641898,299.28950590041336
