#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
7100,-54213.98921024869,10036.951861735433,301.0769018235177
7200,-54021.83854280057,9913.068760173628,297.3607994728916
7300,-54360.064031362475,10087.60768157104,302.5964166628365
7400,-54061.58280792256,9855.641692695208,295.638168559105
7500,-54114.98905792256,10027.907434245455,300.805597522674
7600,-54104.73905792256,10128.246390366228,303.8154497623982
7700,-54117.30155792256,10150.822327467147,304.49265667658307
7800,-53703.73064671329,9910.979329098016,297.29812313016475
7900,-53644.473161202564,9879.200694471598,296.34486431321454
8000,-53839.53886629053,10314.944986394607,309.41581884270835
