#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
4100,-53914.194989599346,9819.16094424075,294.5438611566012
4200,-54240.178469796316,10030.828674250282,300.89322550996064
4300,-54162.39766593644,9969.258053823141,299.0463010754391
4400,-54221.15858315892,9930.02377871424,297.8693965572344
4500,-54350.54496265575,9949.863825927489,298.46453540309955
4600,-54177.733434700116,9781.73925370141,293.42132845904626
4700,-54389.436559700116,10155.848799143918,304.6434349746553
4800,-54200.03001681302,10071.426763092168,302.1110401390284
4900,-53943.43107806053,9846.864254095126,295.37487308294226
5000,-54222.892340702296,9989.479285958223,299.6528742667976
