#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
3100,-54177.966448283754,9926.737518004607,297.77081909998736
3200,-54495.812277569144,10194.977495218627,305.817172454804
3300,-54342.25715138187,9865.05610102648,295.9205711183608
3400,-54281.14621989452,10037.960235944483,301.10714986962995
3500,-54176.029981389176,9939.974966044887,298.16790079360504
3600,-54389.433071647596,10011.648178381613,300.31787112437337
3700,-54311.776821647596,9829.160538108437,294.8438174364211
3800,-54257.60899340152,9865.413719308563,295.93129853898495
3900,-54141.897412006045,9928.412187416106,297.8210539008451
4000,-54214.116162006045,10004.790426462889,300.112160194441
