#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
6100,-54019.737907341274,10379.99961855961,311.36725264166665
6200,-53789.17853897327,10204.102222828544,306.09088550599944
6300,-53957.79179655743,10219.950039180927,306.56627001653334
6400,-53777.14386171411,10114.463961073663,303.4020203499461
6500,-53760.22522015346,9768.285155549645,293.0177479453442
6600,-53975.86766862712,9916.63531963341,297.4677850086511
6700,-54254.56868524017,9995.495483173989,299.83334120969363
6800,-54200.64114178863,10064.40325371828,301.90035700819857
6900,-54143.62350341171,9879.845364354318,296.3642023765691
7000,-54203.91903000907,9860.647875713592,295.78833826141107
