 3.0260000e+00 4.7979999e+00 1.1099999e-01	 2.7949998e+00 1.8019999e+00 3.2830999e+00
 3.0276999e+00 4.7967997e+00 1.0659999e-01	 2.7970998e+00 1.8043000e+00 3.2888999e+00
 3.0279999e+00 4.7981000e+00 1.0890000e-01	 2.7965000e+00 1.8041999e+00 3.2939999e+00
 3.0282998e+00 4.7971001e+00 1.0850000e-01	 2.7951999e+00 1.7952000e+00 3.2951000e+00
 3.0260999e+00 4.7953000e+00 1.0980000e-01	 2.7983000e+00 1.7889999e+00 3.2965000e+00
 3.0332000e+00 4.7926998e+00 1.0960000e-01	 2.8014998e+00 1.7861999e+00 3.2983000e+00
 3.0418999e+00 4.7969999e+00 1.0450000e-01	 2.8058000e+00 1.7817999e+00 3.2946999e+00
 3.0444999e+00 4.7918997e+00 1.0360000e-01	 2.8041999e+00 1.7823000e+00 3.2983999e+00
 3.0521998e+00 4.7916999e+00 1.0160000e-01	 2.8016999e+00 1.7794000e+00 3.3018000e+00
 3.0590999e+00 4.7905998e+00 1.0240000e-01	 2.8041999e+00 1.7744000e+00 3.3007998e+00
 3.0604000e+00 4.7884998e+00 1.0850000e-01	 2.8077998e+00 1.7704999e+00 3.3014998e+00
 3.0625999e+00 4.7900000e+00 1.0340000e-01	 2.8116000e+00 1.7658000e+00 3.2955999e+00
 3.0611000e+00 4.7912998e+00 9.8899998e-02	 2.8125999e+00 1.7623999e+00 3.2940998e+00
 3.0509999e+00 4.7918997e+00 9.5299996e-02	 2.8156998e+00 1.7678000e+00 3.2909999e+00
 3.0518999e+00 4.7947998e+00 9.4299994e-02	 2.8116000e+00 1.7729000e+00 3.2900999e+00
 3.0472000e+00 4.7955999e+00 9.2799999e-02	 2.8067000e+00 1.7796999e+00 3.2932999e+00
 3.0425000e+00 4.7967000e+00 9.2399999e-02	 2.8012998e+00 1.7823000e+00 3.2907999e+00
 3.0434999e+00 4.7950997e+00 8.9899994e-02	 2.8012998e+00 1.7831000e+00 3.2895000e+00
 3.0430000e+00 4.7960000e+00 8.7200001e-02	 2.8018999e+00 1.7850000e+00 3.2916999e+00
 3.0463998e+00 4.7988997e+00 8.5400000e-02	 2.8030999e+00 1.7852999e+00 3.2916000e+00
 3.0534000e+00 4.7990999e+00 8.2699999e-02	 2.8055999e+00 1.7845999e+00 3.2969999e+00
 3.0535998e+00 4.7957001e+00 7.7699997e-02	 2.8111999e+00 1.7901000e+00 3.3006999e+00
 3.0446999e+00 4.7936997e+00 7.5899996e-02	 2.8100998e+00 1.7945000e+00 3.2981999e+00
 3.0379000e+00 4.7914000e+00 7.3799998e-02	 2.8086998e+00 1.7982999e+00 3.2965999e+00
 3.0326998e+00 4.7919998e+00 7.5399995e-02	 2.8039000e+00 1.8034999e+00 3.2898998e+00
 3.0319998e+00 4.7905998e+00 8.2199998e-02	 2.7990999e+00 1.8092999e+00 3.2849000e+00
 3.0330999e+00 4.7877998e+00 8.5499994e-02	 2.7983999e+00 1.8091999e+00 3.2784998e+00
 3.0346000e+00 4.7914000e+00 9.0399995e-02	 2.7977998e+00 1.8109000e+00 3.2698998e+00
 3.0339999e+00 4.7925000e+00 9.6499994e-02	 2.7941999e+00 1.8119999e+00 3.2672999e+00
 3.0395000e+00 4.7869997e+00 1.0430000e-01	 2.7923999e+00 1.8111999e+00 3.2635999e+00
 3.0383999e+00 4.7821999e+00 1.1460000e-01	 2.7865000e+00 1.8151000e+00 3.2565999e+00
 3.0379000e+00 4.7827997e+00 1.1750000e-01	 2.7821000e+00 1.8174000e+00 3.2495999e+00
 3.0414000e+00 4.7839999e+00 1.1800000e-01	 2.7807999e+00 1.8178999e+00 3.2400999e+00
 3.0412998e+00 4.7883997e+00 1.2210000e-01	 2.7849998e+00 1.8202000e+00 3.2349000e+00
 3.0426998e+00 4.7951999e+00 1.3110000e-01	 2.7907999e+00 1.8180000e+00 3.2398000e+00
 3.0446999e+00 4.8038001e+00 1.3400000e-01	 2.7949998e+00 1.8181000e+00 3.2433000e+00
 3.0483999e+00 7.4000000e-03 1.3200000e-01	 2.7944000e+00 1.8169999e+00 3.2435000e+00
 3.0448999e+00 9.8000001e-03 1.2870000e-01	 2.7921999e+00 1.8168999e+00 3.2433999e+00
 3.0421000e+00 3.3000000e-03 1.2560000e-01	 2.7914999e+00 1.8214999e+00 3.2419000e+00
 3.0386999e+00 -5.2000000e-03 1.2700000e-01	 2.7879000e+00 1.8218000e+00 3.2435999e+00
 3.0333998e+00 4.7929997e+00 1.2639999e-01	 2.7865999e+00 1.8264999e+00 3.2401998e+00
 3.0325000e+00 4.7901001e+00 1.2850000e-01	 2.7877998e+00 1.8332000e+00 3.2428999e+00
 3.0358999e+00 4.7881999e+00 1.3159999e-01	 2.7883000e+00 1.8306999e+00 3.2472000e+00
 3.0339000e+00 4.7946997e+00 1.2960000e-01	 2.7881999e+00 1.8335999e+00 3.2472000e+00
 3.0354998e+00 -2.9000000e-03 1.2719999e-01	 2.7888000e+00 1.8406999e+00 3.2438998e+00
 3.0346999e+00 1.5000000e-03 1.2360000e-01	 2.7807999e+00 1.8446000e+00 3.2349999e+00
 3.0337000e+00 1.9999999e-04 1.2590000e-01	 2.7811000e+00 1.8486999e+00 3.2252998e+00
 3.0333998e+00 -8.9999998e-04 1.2830000e-01	 2.7825000e+00 1.8534000e+00 3.2142000e+00
 3.0354998e+00 4.7971997e+00 1.3020000e-01	 2.7863998e+00 1.8512000e+00 3.2082000e+00
 3.0383000e+00 4.7933998e+00 1.3480000e-01	 2.7839999e+00 1.8506000e+00 3.2047000e+00
 3.0376999e+00 4.7918000e+00 1.3609999e-01	 2.7854998e+00 1.8513000e+00 3.1985998e+00
