#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
9100,-54507.65440098883,10163.462167856283,304.87181202537107
9200,-54175.762472922914,10019.462000894797,300.5522611569326
9300,-54131.05288752157,9873.245208871784,296.1662185273279
9400,-54493.015982808254,10049.247340037487,301.44572739572493
9500,-54347.671947168885,10082.121219560504,302.43184010544536
9600,-54246.52401511255,9809.066690986976,294.2410653937308
9700,-54548.27226541034,10278.592083981726,308.3253464182576
9800,-54317.171828183054,10006.75048584491,300.170955794366
9900,-54212.624953183054,9839.925018478374,295.1667178990482
10000,-53999.72794122598,9699.800524136983,290.9634249863134
