#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
7100,-54454.01929852029,10138.948868837208,304.1364903635951
7200,-54267.02548472129,9815.58751421643,294.43666952557356
7300,-54249.149877733085,9793.26443703752,293.76704761159226
7400,-54393.80556116486,10018.120676282328,300.51202564875996
7500,-54191.606257822714,9929.039791159099,297.8398800338301
7600,-54183.77117207961,9992.320406016894,299.7380989083777
7700,-53978.98992207961,9758.119841676205,292.71282058799113
7800,-54305.61756801134,10112.830523231125,303.35302236612324
7900,-54100.23476035043,9915.021259192377,297.41936828576195
8000,-54168.28163535043,9941.896854419785,298.2255513836982
