#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
8100,-54115.850488832744,9995.352671855362,299.8290573205259
8200,-54215.70443545643,10090.777277003974,302.6914945297155
8300,-54264.663509095204,10245.38361428259,307.329197058467
8400,-54208.34315594833,10048.661134704016,301.4281430844654
8500,-54234.54919252155,9963.294305738062,298.86740744105225
8600,-54382.26448037417,10076.585385012208,302.26578252763005
8700,-54104.98738174187,9881.82000503596,296.4234353694969
8800,-54274.53296964604,10136.63027600525,304.0669398908965
8900,-54063.42913701513,9947.696959285997,298.39953623760863
9000,-54087.912761431304,9927.903834931785,297.8058049295317
