#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
5100,-54126.350960728596,9927.49852986564,297.7936470557778
5200,-53978.035745535395,9934.534460603725,298.00470278835974
5300,-54094.79437367397,10035.174514432205,301.0235870097285
5400,-53864.508090595715,9961.341085908934,298.80881700614384
5500,-54007.69057192304,10179.20867331,305.3441575284541
5600,-54085.85878326738,10377.867723375995,311.30330250962083
5700,-53927.01682728843,9845.483640560298,295.33345903100616
5800,-53673.68015573302,9847.982318341732,295.40841148424624
5900,-53725.99681330478,9867.84975221334,296.00437184349147
6000,-53697.875405650295,10105.256626105867,303.1258293385372
